1	1725	3676
2	1876	4045
3	1942	4162
4	1611	4080
5	2213	4675
6	2184	3937
7	1790	4035
8	1542	3628
9	1655	4357
10	1705	3702
11	1653	3870
12	1594	4401
13	1984	4357
14	2043	3886
15	1822	3657
16	1908	4254
17	1996	4497
18	1909	4652
19	1504	3741
20	1797	3634
21	2032	4483
22	1831	4370
23	2030	4508
24	1902	4824
25	1762	3749
26	1833	3550
27	1876	3586
28	1830	4522
29	1831	4820
30	1985	4421
31	1893	4036
32	2143	4673
33	1699	4149
34	1881	3994
35	1748	4082
36	1907	3278
37	1695	4697
38	2125	3939
39	2044	4261
40	1937	3679
41	1926	4806
42	2239	4674
43	2070	4917
44	1772	3940
45	2040	4922
46	2148	4485
47	1619	4000
48	1633	4210
49	1988	4069
50	2063	4373
51	2034	4157
52	1562	4956
53	1711	4293
54	1634	3515
55	1447	3088
56	1821	4249
57	2107	4198
58	1988	4300
59	2239	3482
60	1997	4117
61	1734	3735
62	2074	5469
63	1966	3513
64	1735	3308
65	1888	4647
66	1940	4944
67	1862	3847
68	1835	3683
69	1856	4158
70	1527	3797
71	1886	4285
72	1866	3712
73	2115	4933
74	1710	4381
75	1702	4494
76	1664	3187
77	1531	4214
78	1868	3531
79	1643	3232
80	1951	3555
81	1835	4030
82	1997	3965
83	1620	4944
84	1488	3232
85	1869	4065
86	1874	4847
87	1930	4974
88	1738	4175
89	1872	4171
90	1565	4263
91	1761	4225
92	1657	3719
93	1693	3958
94	2001	4952
95	1264	3728
96	1927	4668
97	1784	3616
98	1867	5010
99	1803	4073
100	1726	3825
101	1826	4047
102	1691	4690
103	1727	3645
104	1720	4413
105	1828	4415
106	2007	4732
107	1751	4297
108	1573	3312
109	1804	3502
110	1756	4532
111	1509	3265
112	1593	5645
113	1568	3807
114	1460	5263
115	1921	4855
116	2026	4664
117	2022	4085
118	1842	4062
119	1494	3799
120	1439	3464
121	1996	4205
122	1773	4259
123	1585	4340
124	1659	3689
125	1750	4392
126	1879	4358
127	2115	4825
128	1862	4132
129	1746	3954
130	2015	5109
131	1857	4242
132	1902	5396
133	1992	4851
134	1920	4729
135	1906	4060
136	1940	4645
137	1681	3928
138	1623	4680
139	1855	4399
140	1764	4191
141	2027	4539
142	2044	4106
143	1864	4244
144	1485	3672
145	1688	4194
146	2062	4652
147	1953	3891
148	1929	3824
149	1616	3710
150	1835	4436
151	1896	4661
152	1473	4048
153	1770	4603
154	1752	3983
155	2053	4490
156	2073	3661
157	2026	4357
158	1658	4451
159	1859	3662
160	2047	3934
161	1805	3561
162	2039	3832
163	1656	3482
164	1949	4022
165	1446	3405
166	1947	4788
167	1678	3623
168	1550	3945
169	1951	4123
170	1959	4251
171	1494	3472
172	2082	4243
173	1808	4223
174	1754	4063
175	1611	3642
176	1921	3940
177	2192	4081
178	1816	4102
179	1761	4247
180	1544	4582
181	1899	3574
182	1880	3950
183	1907	4456
184	2088	4367
185	1908	4101
186	1864	4279
187	1745	4899
188	2027	5871
189	1803	3410
190	2200	4136
191	1566	3652
192	2035	4257
193	2179	4729
194	1936	4499
195	2086	4619
196	1839	4114
197	1897	4632
198	1488	3434
199	1779	3491
200	1921	3231
201	1857	4473
202	2456	4522
203	1820	4023
204	1777	3545
205	1783	3934
206	2003	4973
207	1796	3871
208	1773	4960
209	1675	3336
210	1826	4346
211	1992	4702
212	1629	4145
213	1653	3746
214	1908	4694
215	1430	3983
216	1791	3983
217	1922	4246
218	1493	4684
219	1662	3619
220	1906	4941
221	1725	3998
222	1786	4248
223	1664	5285
224	1559	4440
225	1839	4257
226	1517	4553
227	1462	4179
228	1975	4245
229	1544	3556
230	1462	3441
231	1761	4227
232	1922	3686
233	1652	3843
234	1686	4081
235	2338	4181
236	1664	4262
237	1983	3706
238	1821	4303
239	1854	3466
240	1700	3078
241	2138	5516
242	2007	4679
243	1925	4145
244	1639	3807
245	1752	4590
246	1895	3717
247	1919	2854
248	1851	4094
249	1758	4882
250	1950	3881
251	1748	3563
252	1861	3800
253	2199	4601
254	1821	4576
255	1910	4241
256	1840	4683
257	1809	4132
258	1469	3349
259	1878	4424
260	1727	4094
261	1863	4393
262	2035	4512
263	1926	3444
264	1748	4964
265	2041	4190
266	2088	3886
267	2005	3816
268	1889	3875
269	1962	4147
270	2262	4531
271	1626	3971
272	1616	4278
273	2092	4049
274	1794	3967
275	1773	4323
276	1887	4537
277	1857	4305
278	1919	3934
279	2244	4564
280	1806	3777
281	1932	4905
282	2032	4458
283	1713	4931
284	1921	3797
285	1865	4576
286	1397	4042
287	1813	4019
288	1495	4434
289	1976	4510
290	1923	3744
291	1669	3921
292	1773	4431
293	1614	3604
294	1839	3857
295	1982	4099
296	1754	3978
297	1748	3154
298	1559	4291
299	1965	4695
300	1792	3746
301	1459	3433
302	2076	4587
303	1632	3670
304	1798	3768
305	1580	3473
306	1959	4400
307	1873	3917
308	2234	5158
309	1681	3840
310	1594	4246
311	1633	4761
312	2071	4047
313	1802	4673
314	1841	4094
315	1901	4496
316	1683	4498
317	1768	4237
318	1841	3877
319	1638	4705
320	1808	4146
321	2279	4639
322	1662	3175
323	1799	4607
324	1962	5377
325	1924	3976
326	1934	4135
327	2179	4361
328	2027	3605
329	1762	4007
330	1814	4633
331	1751	4568
332	1999	4146
333	1809	3418
334	2024	4940
335	1781	3651
336	1763	3660
337	1869	3915
338	1792	3691
339	1418	4150
340	1828	3291
341	1998	4594
342	2002	4456
343	1891	3791
344	1776	4660
345	1876	4812
346	1689	4010
347	1602	3133
348	1748	4568
349	1819	4200
350	1501	3411
351	2123	3839
352	1757	4462
353	2027	4300
354	2075	4914
355	2009	3977
356	1686	3944
357	2064	4600
358	2050	4345
359	1942	4025
360	1959	3880
361	1351	4504
362	2162	4917
363	1528	3785
364	1446	3545
365	1955	4415
366	1887	3819
367	2017	4290
368	2002	3544
369	2035	3776
370	1617	4246
371	1472	3498
372	1544	3532
373	1717	3824
374	1689	4667
375	1844	4602
376	1690	3569
377	1845	4018
378	2074	3776
379	1585	4726
380	1464	4005
381	2067	3932
382	2061	5294
383	1824	4810
384	1720	4880
385	1861	3654
386	1805	4013
387	1652	3469
388	1814	4713
389	1897	4771
390	1616	3438
391	1772	3634
392	1972	4752
393	1603	4040
394	1535	4023
395	2147	4107
396	1866	3492
397	1731	4025
398	1715	4326
399	1874	3469
400	1754	3070
401	1940	3785
402	1862	4636
403	1685	4466
404	1652	4064
405	2042	3895
406	1820	4117
407	1861	4782
408	2091	4165
409	1931	4550
410	1843	3631
411	1677	3967
412	1692	3525
413	1829	3847
414	2239	4923
415	1912	3238
416	1992	4164
417	1880	3905
418	1631	4154
419	2203	4722
420	1635	4861
421	1915	4398
422	1393	4413
423	2114	5143
424	1920	3940
425	1789	3599
426	2002	3956
427	1330	4401
428	1893	4185
429	1528	3907
430	1688	3993
431	1625	3523
432	1863	4241
433	1612	4186
434	1771	4568
435	1862	4915
436	1456	4474
437	1515	4919
438	1795	4565
439	1806	3957
440	1660	3737
441	1887	4413
442	1651	4501
443	1878	4598
444	1756	4404
445	1941	3996
446	1553	4902
447	2196	4269
448	1708	4350
449	1980	4759
450	2074	4009
451	1752	3468
452	1697	4384
453	1602	4250
454	2036	3501
455	1394	3240
456	1715	4219
457	1829	3269
458	1989	4872
459	1570	4587
460	1798	4457
461	1415	3715
462	1621	4253
463	1734	4116
464	2350	4400
465	1946	5435
466	1593	4612
467	1818	4574
468	1791	4196
469	1751	4018
470	1935	3975
471	1874	4599
472	1871	3504
473	1735	4630
474	1562	4083
475	1832	4095
476	1628	3910
477	1856	4622
478	1809	4162
479	1794	4143
480	2099	4730
481	2265	3604
482	1962	3748
483	2426	5345
484	1955	4647
485	1934	3877
486	1658	4526
487	1917	3722
488	1570	4093
489	2101	4088
490	1403	3862
491	1846	4170
492	2028	3807
493	2027	4301
494	1686	4133
495	1885	3815
496	1862	4890
497	1914	3647
498	1358	3754
499	1909	4783
500	2015	4130
501	1710	4080
502	1808	3867
503	1725	4930
504	1631	4649
505	1729	4438
506	1501	4040
507	1666	3494
508	2020	4076
509	1834	5123
510	1797	4206
511	1639	4498
512	2302	4491
513	1787	4377
514	1365	3064
515	2104	4490
516	2140	4427
517	2041	3850
518	1485	4039
519	1627	4719
520	2130	5331
521	1691	3777
522	1879	4842
523	1871	3960
524	2072	3997
525	1309	2511
526	1763	4536
527	1656	3828
528	1710	5405
529	1820	4672
530	1849	4087
531	1872	4922
532	1686	3557
533	1701	4115
534	1687	4001
535	1551	4475
536	1780	3494
537	1980	4568
538	1848	4217
539	1854	3914
540	1907	4289
541	2063	4494
542	1696	3500
543	1662	4124
544	1988	4661
545	1812	4071
546	1897	4170
547	2051	3553
548	2190	3639
549	1604	3755
550	1801	4311
551	1794	3902
552	1402	3366
553	1930	4042
554	1865	4348
555	1924	4133
556	1592	3383
557	1901	4178
558	2092	4928
559	1688	4415
560	1866	4122
561	2120	4231
562	1631	3424
563	1788	3950
564	1766	3988
565	2083	4539
566	1794	3057
567	1831	4000
568	1983	3747
569	2122	3983
570	1720	3684
571	1907	3911
572	1814	3902
573	1641	3475
574	1519	4408
575	1745	3079
576	2057	3743
577	1946	4414
578	1629	4359
579	1802	4631
580	1971	4701
581	1733	3904
582	2050	4879
583	1566	4246
584	1656	3351
585	1935	4326
586	2038	4478
587	1949	4069
588	1423	4639
589	1658	3359
590	1324	3588
591	1805	3784
592	1608	3422
593	1938	4054
594	2015	4520
595	1639	4557
596	1810	4750
597	1988	4935
598	1896	4499
599	2141	4675
600	1668	3960
601	1949	4408
602	1697	4318
603	1902	3925
604	1714	3390
605	1715	4185
606	2063	4934
607	1824	3875
608	1757	4385
609	1771	3919
610	1806	4602
611	1655	3291
612	1960	4031
613	1705	4525
614	1618	4379
615	1850	4001
616	1886	4075
617	1609	3970
618	1863	4824
619	1930	4725
620	1593	3775
621	1591	4062
622	1712	3988
623	1467	3414
624	1737	2973
625	1593	3862
626	1800	3952
627	2199	4621
628	2056	4244
629	1795	3837
630	1730	4630
631	1886	3979
632	1629	4134
633	1946	4586
634	1727	4132
635	1720	4086
636	1805	3546
637	2046	5109
638	1800	4824
639	1785	4065
640	2084	3938
641	1437	4211
642	1591	3386
643	2076	4288
644	1831	3641
645	1987	4059
646	2067	5022
647	1756	3599
648	2253	4199
649	1579	3546
650	1835	4376
651	1757	4312
